d,spend1,spend2,spend3,spend4
1/8/2020,305.1892930886526,404.5763652121292,537.8549566259982,792.4486857572467
1/15/2020,280.7519329328663,362.1951209552304,490.2684186625091,711.0565084745709
1/22/2020,288.0336859858745,378.6768303750513,511.0990117502474,740.7843358392538
1/29/2020,274.5035892138104,350.4448154259549,464.8086918857376,677.1060319300124
2/5/2020,333.488506106012,442.1352326382349,582.0337486885855,796.6137714871472
2/12/2020,299.0738605188449,383.5887347386722,513.4446227331334,734.5555701749595
2/19/2020,314.5792592250322,424.9886713847774,568.8938625940532,790.9318237561422
2/26/2020,310.3257381345327,394.3182747606301,522.0204147957187,720.3239646801559
3/4/2020,405.6110627104112,527.6347603224464,660.5824401846464,857.7112062875848
3/11/2020,342.0959759720114,433.3033639253675,558.0807074428252,772.8909722252603
3/18/2020,359.8113682751345,476.8517781099808,633.0825151823956,859.1714733187463
3/25/2020,284.1823367218973,368.691725731371,484.7618772219063,669.7842092673604
4/1/2020,283.7482423262276,365.0287205843418,477.4710113305989,647.3846479770414
4/8/2020,308.410806851938,406.6822746092434,527.3899340847092,717.0052074084186
4/15/2020,306.370493761965,389.0489437611189,506.7428647822294,662.3362545926692
4/22/2020,368.5889461350601,462.2698499034972,586.8293508587897,731.8563099234508
4/29/2020,325.6296193808167,407.0432137910145,522.7599424777459,686.7917903499125
5/6/2020,392.6738004488748,502.3673122279866,646.4641700188862,834.7523133952971
5/13/2020,347.2268852729562,423.7776806948482,550.0414726776753,747.3202451066113
5/20/2020,353.2127291570382,450.5778312833474,586.0539480830917,780.2451744122438
5/27/2020,341.2227170110254,422.5190330772454,552.8568866041228,770.5092048113681
6/3/2020,380.5737109380159,477.7947572569366,617.451436647585,817.5238290322626
6/10/2020,355.1587060532065,433.8967871551293,561.714325859536,778.3955616183723
6/17/2020,351.6034950821843,445.1795562956521,589.3452924972225,798.6668667304507
6/24/2020,345.5213853059639,420.184707603226,554.6428712268843,776.7805849371174
7/1/2020,354.8058715426783,444.8933459486055,581.5679281496417,804.6148028157415
7/8/2020,368.4252447686315,458.8919110623327,595.7986292677091,823.3445199289187
7/15/2020,340.8198069179458,425.213354009768,558.8747628368548,775.4199225533093
7/22/2020,337.7672510396731,429.2944347348906,566.2858266538767,777.4769752050346
7/29/2020,327.9224953462271,402.1137686106804,532.0050737987478,752.6121460087519
8/5/2020,378.6372341408664,486.1636067670881,629.255082701362,855.0473712684483
8/12/2020,344.3051700442267,421.7901920675192,563.6521015257354,784.8694813012532
8/19/2020,343.7114010825805,444.6902933050754,582.6922070381606,810.6179363586664
8/26/2020,330.8768999273887,414.0658862733239,547.1505450675925,770.4067513395275
9/2/2020,354.4422756617593,453.1113985921374,585.1058113665684,804.5430452979717
9/9/2020,358.3216128457318,453.6554082049728,600.9619940649255,827.5534897758278
9/16/2020,333.20531295795,418.6741413919673,547.6449050687983,758.7786695462052
9/23/2020,339.9865165357469,428.4090548764371,559.9913668055527,778.0698194915241
9/30/2020,333.3341641032439,411.6113079892544,532.3273040975927,744.7143348824437
10/7/2020,386.3670305630731,485.439361238319,633.061211954078,857.5681311919066
10/14/2020,328.7673472836491,410.3519539416441,547.3780870177758,759.4561383269494
10/21/2020,352.5232717671158,455.7272202248059,600.054868019546,812.1016096500766
10/28/2020,324.5833493299903,403.3734740188478,531.9873846107704,744.9991905686135
