d,yoyretspend_q4q1,yoyretspend_q4q3,yoyretspend_q2q1
1/8/2020,.0747031129556168,.0116115759424078,.0685405854662471
1/15/2020,.0664118536417888,-.0042536703122237,.0481631302871854
1/22/2020,.0478504363078101,.0009996717169298,.0307040935899012
1/29/2020,-.0061850012175465,-.010095771536189,-.0063753386959374
2/5/2020,-.0000672470082935,-.0106670540814501,.0180702301247253
2/12/2020,-.0107700682485794,-.0130477428480886,-.0069539181636233
2/19/2020,.0185061523211365,.0047403106849919,.0151282556210042
2/26/2020,.0042817619498441,-.0076920170496212,-.0086506284082617
3/4/2020,.0422980527770664,.0089341125698903,.0567639617715543
3/11/2020,-.0589854895366156,-.0142861980218778,-.0318983147970079
3/18/2020,-.0046736020002173,.0042910170310453,.0245326985230836
3/25/2020,-.0211901326906121,-.0189192642268429,.0159069765787208
4/1/2020,-.0407691454820113,-.0161027042931606,-.0009490013711193
4/8/2020,-.061680681717566,-.0511243928607654,.031064278497752
4/15/2020,-.1416100358012976,-.0776416491222269,-.0180782424752822
4/22/2020,-.2725901513020119,-.1636327502565524,-.0618697300133807
4/29/2020,-.1533547732290803,-.0766531137766351,-.0162221266164689
5/6/2020,-.1815995481323186,-.0983386589689781,-.0225190283817723
5/13/2020,-.1869114231803652,-.0818989364142815,-.0578160958297617
5/20/2020,-.1826801735238595,-.0896657416618994,-.0475696054505804
5/27/2020,-.2168609222439544,-.0849812199718882,-.0773929132583632
6/3/2020,-.1908741090517464,-.0868206382213916,-.0762110250270849
6/10/2020,-.1967441522585089,-.0941022635277695,-.0589568292361882
6/17/2020,-.1983027323984424,-.0863856155473829,-.0862350720262032
6/24/2020,-.1796189560978044,-.0734160707076061,-.0582398871923568
7/1/2020,-.1606990664384343,-.0410998321405646,-.0771387303888447
7/8/2020,-.179058016850514,-.0778785996762926,-.0458201177259846
7/15/2020,-.1721973250142129,-.0718012204322903,-.0701760025498914
7/22/2020,-.1770475961437333,-.0969007140064561,-.0385405594764211
7/29/2020,-.1718459065709746,-.0648865921898694,-.0902109051811117
8/5/2020,-.1601854971471012,-.0623278777480791,-.0413577104642816
8/12/2020,-.1776520365115379,-.0857969954881416,-.0619706700575207
8/19/2020,-.1334472619973849,-.0690277627209296,-.0143319589801412
8/26/2020,-.1473117242294613,-.0735798590800132,-.0376632565525865
9/2/2020,-.1495045725349524,-.0335558283982794,-.0833426946314644
9/9/2020,-.1136340909979696,-.0875350761523009,-.0307380001342386
9/16/2020,-.1646172879577134,-.0518172824163901,-.0779910846019155
9/23/2020,-.1334377172434812,-.0673275907154082,-.0263493407394049
9/30/2020,-.1324612338323119,-.0353838559663138,-.0619776757588899
10/7/2020,-.1355418786735249,-.0592055097705791,-.0394857534838975
10/14/2020,-.1347917406937961,-.0379240463012881,-.0676507525720672
10/21/2020,-.12462539946569,-.0836691183627217,-.0091764227441061
10/28/2020,-.0860761679247943,-.0683632646573519,.007954308958944
11/4/2020,-.103445942681351,-.0408141148858369,-.0337274271421322
11/11/2020,-.1317398041696997,-.0769674846693948,-.0123570041768952
11/18/2020,-.1229070508477311,-.0813617839876617,-.0208388886625118
11/25/2020,-.1389325204612616,-.0599095204528396,-.0329344206301311
12/2/2020,-.1225762576003704,-.0451320294218001,-.0622999996549841
12/9/2020,-.1552456065979357,-.0719519672904366,-.0468738061602377
12/16/2020,-.1630123372741382,-.0753444137812009,-.0815913395105382
12/23/2020,-.1538159304803585,-.1007887548581764,-.0346992527464035
12/30/2020,-.1539863927206445,-.0577734045374728,-.0658398536229637
1/6/2021,-.2256564563876848,-.142861896597445,-.036556744159311
1/13/2021,-.2053609376518079,-.120455891383193,-.0462048526051148
1/20/2021,-.1723146304680578,-.0946912692406188,-.0361525647597797
